Month,L,M,S,SD
0,1,49.8842,0.03795,1.8931
1,1,54.7244,0.03557,1.9465
2,1,58.4249,0.03424,2.0005
3,1,61.4292,0.03328,2.0444
4,1,63.886,0.03257,2.0808
5,1,65.9026,0.03204,2.1115
6,1,67.6236,0.03165,2.1403
7,1,69.1645,0.03139,2.1711
8,1,70.5994,0.03124,2.2055
9,1,71.9687,0.03117,2.2433
10,1,73.2812,0.03118,2.2849
11,1,74.5388,0.03125,2.3293
12,1,75.7488,0.03137,2.3762
13,1,76.9186,0.03154,2.426
14,1,78.0497,0.03174,2.4773
15,1,79.1458,0.03197,2.5303
16,1,80.2113,0.03222,2.5844
17,1,81.2487,0.0325,2.6406
18,1,82.2587,0.03279,2.6973
19,1,83.2418,0.0331,2.7553
20,1,84.1996,0.03342,2.814
21,1,85.1348,0.03376,2.8742
22,1,86.0477,0.0341,2.9342
23,1,86.941,0.03445,2.9951
24,1,87.1161,0.03507,3.0551
25,1,87.972,0.03542,3.116
26,1,88.8065,0.03576,3.1757
27,1,89.6197,0.0361,3.2353
28,1,90.412,0.03642,3.2928
29,1,91.1828,0.03674,3.3501
30,1,91.9327,0.03704,3.4052
31,1,92.6631,0.03733,3.4591
32,1,93.3753,0.03761,3.5118
33,1,94.0711,0.03787,3.5625
34,1,94.7532,0.03812,3.612
35,1,95.4236,0.03836,3.6604
36,1,96.0835,0.03858,3.7069
37,1,96.7337,0.03879,3.7523
38,1,97.3749,0.039,3.7976
39,1,98.0073,0.03919,3.8409
40,1,98.631,0.03937,3.8831
41,1,99.2459,0.03954,3.9242
42,1,99.8515,0.03971,3.9651
43,1,100.4485,0.03986,4.0039
44,1,101.0374,0.04002,4.0435
45,1,101.6186,0.04016,4.081
46,1,102.1933,0.04031,4.1194
47,1,102.7625,0.04045,4.1567
48,1,103.3273,0.04059,4.1941
49,1,103.8886,0.04073,4.2314
50,1,104.4473,0.04086,4.2677
51,1,105.0041,0.041,4.3052
52,1,105.5596,0.04113,4.3417
53,1,106.1138,0.04126,4.3783
54,1,106.6668,0.04139,4.4149
