Month,L,M,S,SD
0,1,49.1477,0.0379,1.8627
1,1,53.6872,0.0364,1.9542
2,1,57.0673,0.03568,2.0362
3,1,59.8029,0.0352,2.1051
4,1,62.0899,0.03486,2.1645
5,1,64.0301,0.03463,2.2174
6,1,65.7311,0.03448,2.2664
7,1,67.2873,0.03441,2.3154
8,1,68.7498,0.0344,2.365
9,1,70.1435,0.03444,2.4157
10,1,71.4818,0.03452,2.4676
11,1,72.771,0.03464,2.5208
12,1,74.015,0.03479,2.575
13,1,75.2176,0.03496,2.6296
14,1,76.3817,0.03514,2.6841
15,1,77.5099,0.03534,2.7392
16,1,78.6055,0.03555,2.7944
17,1,79.671,0.03576,2.849
18,1,80.7079,0.03598,2.9039
19,1,81.7182,0.0362,2.9582
20,1,82.7036,0.03643,3.0129
21,1,83.6654,0.03666,3.0672
22,1,84.604,0.03688,3.1202
23,1,85.5202,0.03711,3.1737
24,1,85.7153,0.03764,3.2267
25,1,86.5904,0.03786,3.2783
26,1,87.4462,0.03808,3.33
27,1,88.283,0.0383,3.3812
28,1,89.1004,0.03851,3.4313
29,1,89.8991,0.03872,3.4809
30,1,90.6797,0.03893,3.5302
31,1,91.443,0.03913,3.5782
32,1,92.1906,0.03933,3.6259
33,1,92.9239,0.03952,3.6724
34,1,93.6444,0.03971,3.7186
35,1,94.3533,0.03989,3.7638
36,1,95.0515,0.04006,3.8078
37,1,95.7399,0.04024,3.8526
38,1,96.4187,0.04041,3.8963
39,1,97.0885,0.04057,3.9389
40,1,97.7493,0.04073,3.9813
41,1,98.4015,0.04089,4.0236
42,1,99.0448,0.04105,4.0658
43,1,99.6795,0.0412,4.1068
44,1,100.3058,0.04135,4.1476
45,1,100.9238,0.0415,4.1883
46,1,101.5337,0.04164,4.2279
47,1,102.136,0.04179,4.2683
48,1,102.7312,0.04193,4.3075
49,1,103.3197,0.04206,4.3456
50,1,103.9021,0.0422,4.3847
51,1,104.4786,0.04233,4.4226
52,1,105.0494,0.04246,4.4604
53,1,105.6148,0.04259,4.4981
54,1,106.1748,0.04272,4.5358
55,1,106.7295,0.04285,4.5734
56,1,107.2788,0.04298,4.6108
57,1,107.8227,0.0431,4.6472
58,1,108.3613,0.04322,4.6834
59,1,108.8948,0.04334,4.7195
60,1,109.4233,0.04347,4.7566
61,1,109.6016,0.04355,4.7731
62,1,110.1258,0.04364,4.8059
63,1,110.6451,0.04373,4.8385
64,1,111.1596,0.04382,4.871
65,1,111.6696,0.0439,4.9023
66,1,112.1753,0.04399,4.9346
67,1,112.6767,0.04407,4.9657
68,1,113.174,0.04415,4.9966
69,1,113.6672,0.04423,5.0275
70,1,114.1565,0.04431,5.0583
71,1,114.6421,0.04439,5.089
72,1,115.1244,0.04447,5.1196
73,1,115.6039,0.04454,5.149
74,1,116.0812,0.04461,5.1784
75,1,116.5568,0.04469,5.2089
76,1,117.0311,0.04475,5.2371
77,1,117.5044,0.04482,5.2665
78,1,117.9769,0.04489,5.296
79,1,118.4489,0.04495,5.3243
80,1,118.9208,0.04502,5.3538
81,1,119.3926,0.04508,5.3822
82,1,119.8648,0.04514,5.4107
83,1,120.3374,0.0452,5.4393
84,1,120.8105,0.04525,5.4667
85,1,121.2843,0.04531,5.4954
86,1,121.7587,0.04536,5.523
87,1,122.2338,0.04542,5.5519
88,1,122.7098,0.04547,5.5796
89,1,123.1868,0.04551,5.6062
90,1,123.6646,0.04556,5.6342
91,1,124.1435,0.04561,5.6622
92,1,124.6234,0.04565,5.6891
93,1,125.1045,0.04569,5.716
94,1,125.5869,0.04573,5.7431
95,1,126.0706,0.04577,5.7703
96,1,126.5558,0.04581,5.7975
97,1,127.0424,0.04585,5.8249
98,1,127.5304,0.04588,5.8511
99,1,128.0199,0.04591,5.8774
100,1,128.5109,0.04594,5.9038
101,1,129.0035,0.04597,5.9303
102,1,129.4975,0.046,5.9569
103,1,129.9932,0.04602,5.9823
104,1,130.4904,0.04604,6.0078
105,1,130.9891,0.04607,6.0347
106,1,131.4895,0.04608,6.059
107,1,131.9912,0.0461,6.0848
108,1,132.4944,0.04612,6.1106
109,1,132.9989,0.04613,6.1352
110,1,133.5046,0.04614,6.1599
111,1,134.0118,0.04615,6.1846
112,1,134.5202,0.04616,6.2095
113,1,135.0299,0.04616,6.233
114,1,135.541,0.04617,6.2579
115,1,136.0533,0.04617,6.2816
116,1,136.567,0.04616,6.3039
117,1,137.0821,0.04616,6.3277
118,1,137.5987,0.04616,6.3516
119,1,138.1167,0.04615,6.3741
120,1,138.6363,0.04614,6.3967
121,1,139.1575,0.04612,6.4179
122,1,139.6803,0.04611,6.4407
123,1,140.2049,0.04609,6.462
124,1,140.7313,0.04607,6.4835
125,1,141.2594,0.04605,6.505
126,1,141.7892,0.04603,6.5266
127,1,142.3206,0.046,6.5467
128,1,142.8534,0.04597,6.567
129,1,143.3874,0.04594,6.5872
130,1,143.9222,0.04591,6.6075
131,1,144.4575,0.04588,6.6277
132,1,144.9929,0.04584,6.6465
133,1,145.528,0.0458,6.6652
134,1,146.0622,0.04576,6.6838
135,1,146.5951,0.04571,6.7009
136,1,147.1262,0.04567,6.7193
